Hash,Shader Type,Function,Call Location,"Live""""Registers",###ERROR###,Total Samples,"Execution""""Region",Avg. Warp Latency,Top Stall #1 (Type),Top Stall #1 (% Samples),Top Stall #2 (Type),Top Stall #2 (% Samples),Top Stall #3 (Type),Top Stall #3 (% Samples),Total Instruction Mix,Total SB Producer Samples,"Instructions""""Executed","Thread Instructions""""Executed","Thread Instructions""""Executed Pred On","Active Threads""""Per Warp"
,,"D_GGX(float,float)",brdf_lib.hlsl:63,126,0.0004124634233495841,0.0004124634233495841,,1713.3140863986466,NOINST,0.6221128360469519,SELECT,WAIT,50,255,0,0,0,0
,,[Self: PDF_GGX],--,126,0,0.00021864778216183935,,908.2316247474838,NOINST,0.6321428571428571,WAIT,SELECT,30,168,0,0,0,0
,,"calculate_p_target(class vector<float,3>,class vector<float,3>,class vector<float,3>,float)","path_tracer_core.hlsl:417""""path_tracer_core.hlsl:438""""path_tracer_core.hlsl:474""""path_tracer_core.hlsl:526""""path_tracer_core.hlsl:568",125,0.0006158058607600947,0.0006158058607600947,,2557.9694974138065,NOINST,0.7433426325133148,WAIT,SELECT,54,22468,0,0,0,0
,,"finalize_gi_reservoir(struct GI_Reservoir,float)",path_tracer_core.hlsl:708,126,0.0005189761286598515,0.0005189761286598515,,2155.7526350256344,LGSB,0.6054769786337647,NOINST,WAIT,21,2495,0,0,0,0
,,"FresnelDielectric(float,float)",path_tracer_core.hlsl:801,125,0.000488365439157194,0.000488365439157194,,2027.9514706861676,WAIT,0.3006076111288775,SHRTSB,LGSB,56,1439,0,0,0,0
,,"init_rng(class vector<unsigned int,2>,unsigned int)","path_tracer_core.hlsl:201""""path_tracer_core.hlsl:247",42,0.00045244473208774896,0.00045244473208774896,,1879.3907263524718,NOINST,0.9420089748015188,SELECT,WAIT,17,,0,0,0,0
,,[Self: init_rng],--,42,0,0.00044213705092869084,,1836.5740926143762,NOINST,0.9639703285058283,SELECT,BRANCH,12,,0,0,0,0
,,pcg_hash(unsigned int),random_lib.hlsl:31,42,1.030768115905814e-05,1.030768115905814e-05,,42.81663373809566,SELECT,0.803030303030303,DISPCH,WAIT,5,,0,0,0,0
,,next_float2(struct RNG),"path_tracer_core.hlsl:586""""path_tracer_core.hlsl:613",123,0.0003824774417959604,0.0003824774417959604,,1588.7566064332768,NOINST,0.7697019191506738,WAIT,SELECT,23,5,0,0,0,0
,,next_float(struct RNG),random_lib.hlsl:46,123,0.0003824774417959604,0.0003824774417959604,,1588.7566064332768,NOINST,0.7697019191506738,WAIT,SELECT,23,5,0,0,0,0
,,pcg_hash(unsigned int),random_lib.hlsl:36,123,0.00032890873516630976,0.00032890873516630976,,1366.2398583701433,NOINST,0.7521367521367521,WAIT,SELECT,23,5,0,0,0,0
,,[Self: next_float],--,122,0,5.356870662965064e-05,,222.51674806313352,NOINST,0.8775510204081632,SELECT,WAIT,10,2,0,0,0,0
,,"update_gi_reservoir(struct GI_Reservoir,class vector<float,3>,class vector<float,3>,float,struct RNG)",path_tracer_core.hlsl:645,91,0.00036420473428672097,0.00036420473428672097,,1512.8543920793802,NOINST,0.7577186963979416,WAIT,SELECT,6,,0,0,0,0
,,[Self: update_gi_reservoir],--,91,0,0.00019006739349354177,,789.5127766554914,NOINST,0.7222678718159409,WAIT,SELECT,6,,0,0,0,0
,,next_float(struct RNG),restir_lib.hlsl:104,89,0.0001741373407931792,0.0001741373407931792,,723.3416154238888,NOINST,0.7964125560538117,WAIT,SELECT,2,,0,0,0,0
,,pcg_hash(unsigned int),random_lib.hlsl:36,88,0.00016585996046848098,0.00016585996046848098,,688.9585610584484,NOINST,0.8361581920903954,WAIT,SELECT,2,,0,0,0,0
,,[Self: next_float],--,89,0,8.277380324698203e-06,,34.38305436544046,WAIT,0.7735849056603774,SELECT,MATHTH,1,,0,0,0,0
,,"SampleCone(class vector<float,3>,float,class vector<float,2>)","path_tracer_core.hlsl:587""""path_tracer_core.hlsl:818",125,0.00033499963766938956,0.00033499963766938956,,1391.5405964881095,NOINST,0.8121212121212121,SELECT,WAIT,342,107,0,0,0,0
,,"EnvBRDFApprox2(class vector<float,3>,float,float)",path_tracer_core.hlsl:336,90,0.00021724218927651322,0.00021724218927651322,,902.3929928741073,NOINST,0.7958303378864127,SELECT,DISPCH,33,0,0,0,0,0
,,"evaluate_directional_light(class vector<float,3>,class vector<float,3>,float)",path_tracer_core.hlsl:408,119,0.00018038442028351745,0.00018038442028351745,,749.2910904166741,LGSB,0.8251082251082251,WAIT,SHRTSB,7,63,0,0,0,0
,,"update_reservoir(struct Reservoir,unsigned int,float,struct RNG)","path_tracer_core.hlsl:418""""path_tracer_core.hlsl:439",120,0.00014258958936697093,0.00014258958936697093,,592.2967667103233,NOINST,0.49835706462212487,WAIT,SELECT,8,,0,0,0,0
,,next_float(struct RNG),restir_lib.hlsl:37,120,0.00010666888229752591,0.00010666888229752591,,443.08728550180814,NOINST,0.6661786237188873,WAIT,SELECT,5,,0,0,0,0
,,pcg_hash(unsigned int),random_lib.hlsl:36,120,9.964091787089535e-05,9.964091787089535e-05,,413.8941261349247,NOINST,0.713166144200627,WAIT,SELECT,5,,0,0,0,0
,,[Self: next_float],--,120,0,7.027964426630551e-06,,29.193159366883407,WAIT,0.6444444444444445,SELECT,NOTSEL,2,,0,0,0,0
,,[Self: update_reservoir],--,120,0,3.5920707069445035e-05,,149.2094812085152,WAIT,0.7086956521739131,SELECT,NOTSEL,8,,0,0,0,0
,,"finalize_reservoir(struct Reservoir,float)",path_tracer_core.hlsl:571,124,0.00014134017346890328,0.00014134017346890328,,587.1068717117663,NOINST,0.507182320441989,WAIT,LGSB,9,71,0,0,0,0
,,"G_Smith(float,float,float)","path_tracer_core.hlsl:624""""path_tracer_core.hlsl:658""""path_tracer_core.hlsl:683""""path_tracer_core.hlsl:705",126,0.00013025160737355286,0.00013025160737355286,,541.0465535995726,NOINST,0.605515587529976,WAIT,SELECT,79,90,0,0,0,0
,,PDF_Lambert(float),"path_tracer_core.hlsl:628""""path_tracer_core.hlsl:879""""path_tracer_core.hlsl:891",124,4.919575098641385e-05,4.919575098641385e-05,,204.35211556818385,NOINST,0.7841269841269841,SELECT,SHRTSB,17,,0,0,0,0
,,next_uint(struct RNG),"path_tracer_core.hlsl:424""""path_tracer_core.hlsl:752",120,3.123539745169133e-05,3.123539745169133e-05,,129.74737496392626,WAIT,0.82,SELECT,NOTSEL,5,0,0,0,0,0
,,pcg_hash(unsigned int),random_lib.hlsl:41,120,3.123539745169133e-05,3.123539745169133e-05,,129.74737496392626,WAIT,0.82,SELECT,NOTSEL,5,0,0,0,0,0
,,"SampleGlass(class vector<float,3>,class vector<float,3>,float,class vector<float,2>,class vector<float,3> &)",path_tracer_core.hlsl:810,125,1.452445981503647e-05,1.452445981503647e-05,,60.332529358225706,WAIT,0.8279569892473119,SELECT,NOTSEL,259,0,0,0,0,0
,,"FresnelDielectric(float,float)",brdf_lib.hlsl:130,125,1.452445981503647e-05,1.452445981503647e-05,,60.332529358225706,WAIT,0.8279569892473119,SELECT,NOTSEL,42,0,0,0,0,0
,,"DirectionToUV(class vector<float,3>)",path_tracer_core.hlsl:365,65,0,0,,0,SELECT,0,NOTSEL,THDBAR,35,0,0,0,0,0
,,pack_reservoir(struct Reservoir),path_tracer_core.hlsl:574,0,0,0,,0,SELECT,0,NOTSEL,THDBAR,,,0,0,0,0
